Dataset,Classifier,Accuracy,Balanced accuracy,Kappa,G-mean,F1-score,Precision,Recall,MCC,Accuracy norm,Balanced accuracy norm,Kappa norm,G-mean norm,F1-score norm,Precision norm,Recall norm,MCC norm
breast-w,kNN,0.965662496719,0.96253442029,0.924258865964,0.962158814089,0.950525891166,0.950607851183,0.952416666667,0.925384555574,0.996388123661,0.960330578512,0.996363816417,0.996040530078,0.996386953312,0.985030969229,0.95,0.996332307027
breast-w,SVM,0.966675210684,0.967709903382,0.92719906954,0.967438647103,0.952952551784,0.937270650694,0.971033333333,0.928617694064,0.996603827941,0.965743801653,0.996653612777,0.997009218747,0.996751832046,0.980951763626,0.969297520661,0.996666486613
breast-w,NB,0.959662438399,0.963116183575,0.912604494128,0.962727399107,0.944012880062,0.917681715597,0.9743,0.914972583578,0.995136570698,0.961280991736,0.995311762905,0.996226525505,0.995533318929,0.974608563352,0.972603305785,0.995396568177
breast-w,GBM,0.961372583326,0.958057729469,0.914734013835,0.957561221837,0.944245755198,0.943599721834,0.947366666667,0.916110724604,0.995246673509,0.956157024793,0.995204991087,0.994727218711,0.995197968995,0.98281630926,0.945082644628,0.995151425125
breast-w,CART,0.93919601668,0.928048429952,0.86379109825,0.926493493921,0.909406661918,0.931683626168,0.89215,0.866355524896,0.989991087344,0.926198347107,0.989548335404,0.986759574353,0.988998451539,0.979093339815,0.889380165289,0.989376564216
breast-w,RF,0.956374362115,0.950990338164,0.903219633114,0.950346394052,0.936369078936,0.941592735775,0.933666666667,0.904593402871,0.994430580313,0.948925619835,0.994299411225,0.993342245989,0.994192729433,0.98228587119,0.931033057851,0.99420218225
breast-w,LR,0.966799492608,0.963083816425,0.926591776972,0.962704262779,0.951922546235,0.954560672075,0.9511,0.92760275141,0.996493545076,0.960991735537,0.996453123031,0.995995966798,0.996455463728,0.986245071031,0.948595041322,0.996422423882
transfusion,kNN,0.768181981982,0.620097179223,0.271840783147,0.545431135332,0.405855280261,0.526331826192,0.338790849673,0.284809763143,0.847684527441,0.619662921348,0.761792341447,0.652652157658,0.638911824318,0.836903421948,0.34,0.741434798009
transfusion,SVM,0.778623423423,0.566583247334,0.175768035212,0.382207748133,0.252099903993,0.642887973138,0.163692810458,0.234399507666,0.862269426789,0.566292134831,0.685990771168,0.430078710718,0.385681536433,0.862771994726,0.165674157303,0.703465534544
transfusion,NB,0.752268468468,0.559984520124,0.148680696727,0.412164715191,0.268008195702,0.464322538573,0.194705882353,0.171676358041,0.828472815286,0.559382022472,0.655921800901,0.470913241111,0.410571734981,0.755987130798,0.196853932584,0.649463980007
