Id,Dataset,Classifier,Measure,Type,Mean,Std
0,breast-w,kNN,G-mean,Standard,0.9621588140888717,0.02185107803273563
1,breast-w,kNN,G-mean,Normalized,0.9960405300779633,0.003978885091307954
0,breast-w,kNN,Kappa,Standard,0.9242588659638616,0.04309754083792247
1,breast-w,kNN,Kappa,Normalized,0.9963638164172924,0.003755752132278022
0,breast-w,kNN,Bal. acc.,Standard,0.962534420289855,0.02156424598962488
1,breast-w,kNN,Bal. acc.,Normalized,0.9960435909901149,0.003996409932555149
0,breast-w,kNN,Recall,Standard,0.9524166666666667,0.03878886939431065
1,breast-w,kNN,Recall,Normalized,0.95,0.03960695839886884
0,breast-w,kNN,F1-score,Standard,0.9505258911656104,0.027862786785829718
1,breast-w,kNN,F1-score,Normalized,0.9963869533120868,0.0036753452374490405
0,breast-w,kNN,MCC,Standard,0.9253845555736315,0.04243053804747478
1,breast-w,kNN,MCC,Normalized,0.9963323070274942,0.00382981109971431
0,breast-w,kNN,Precision,Standard,0.9506078511831886,0.04281752362638972
1,breast-w,kNN,Precision,Normalized,0.9850309692288302,0.013354839890049246
0,breast-w,kNN,Accuracy,Standard,0.9656624967194471,0.019764073189297356
1,breast-w,kNN,Accuracy,Normalized,0.9963881236608509,0.0038662540906280454
0,breast-w,SVM,G-mean,Standard,0.9674386471025304,0.019071236969399875
1,breast-w,SVM,G-mean,Normalized,0.9970092187471864,0.002936768768568085
0,breast-w,SVM,Kappa,Standard,0.9271990695395046,0.041027257237978294
1,breast-w,SVM,Kappa,Normalized,0.9966536127766074,0.0032802221536625455
0,breast-w,SVM,Bal. acc.,Standard,0.9677099033816425,0.018929530805444458
1,breast-w,SVM,Bal. acc.,Normalized,0.9970067880228309,0.0029697146025321076
0,breast-w,SVM,Recall,Standard,0.9710333333333332,0.03171731038057574
1,breast-w,SVM,Recall,Normalized,0.9692975206611572,0.03312109136987884
0,breast-w,SVM,F1-score,Standard,0.9529525517842876,0.02611434813294044
1,breast-w,SVM,F1-score,Normalized,0.9967518320459496,0.0031107952006714833
0,breast-w,SVM,MCC,Standard,0.9286176940638584,0.0400352097120983
1,breast-w,SVM,MCC,Normalized,0.9966664866130107,0.0032703687537704025
0,breast-w,SVM,Precision,Standard,0.9372706506941891,0.044297146103168254
1,breast-w,SVM,Precision,Normalized,0.9809517636255606,0.013868153473799265
0,breast-w,SVM,Accuracy,Standard,0.9666752106843962,0.01906784661663329
1,breast-w,SVM,Accuracy,Normalized,0.9966038279407263,0.0034630516187894957
0,breast-w,NB,G-mean,Standard,0.9627273991066899,0.020659343441312327
1,breast-w,NB,G-mean,Normalized,0.9962265255046003,0.003702205807585116
0,breast-w,NB,Kappa,Standard,0.9126044941282987,0.047227420965306945
1,breast-w,NB,Kappa,Normalized,0.9953117629053458,0.0045514444740390545
0,breast-w,NB,Bal. acc.,Standard,0.9631161835748793,0.020382693271175287
1,breast-w,NB,Bal. acc.,Normalized,0.9962321071679361,0.003708301202519292
0,breast-w,NB,Recall,Standard,0.9742999999999999,0.03081682440918704
1,breast-w,NB,Recall,Normalized,0.9726033057851241,0.03219246959609412
0,breast-w,NB,F1-score,Standard,0.9440128800617691,0.0295824623603634
1,breast-w,NB,F1-score,Normalized,0.9955333189290408,0.00418645434054321
0,breast-w,NB,MCC,Standard,0.9149725835781866,0.045199166247557786
1,breast-w,NB,MCC,Normalized,0.9953965681773169,0.004386749363161659
0,breast-w,NB,Precision,Standard,0.9176817155968581,0.051737275933148065
1,breast-w,NB,Precision,Normalized,0.9746085633518792,0.01685556508656188
0,breast-w,NB,Accuracy,Standard,0.9596624383985071,0.022301813472565494
1,breast-w,NB,Accuracy,Normalized,0.9951365706980679,0.004986178204568871
0,breast-w,GBM,G-mean,Standard,0.9576695608453971,0.02772235809588466
1,breast-w,GBM,G-mean,Normalized,0.9947697113739893,0.005722105251792347
0,breast-w,GBM,Kappa,Standard,0.9147509470383889,0.052894884026543874
1,breast-w,GBM,Kappa,Normalized,0.9952254271772988,0.004949671462170852
0,breast-w,GBM,Bal. acc.,Standard,0.9581549516908211,0.027189069624699504
1,breast-w,GBM,Bal. acc.,Normalized,0.9947817749689409,0.0056681159233705
0,breast-w,GBM,Recall,Standard,0.9477833333333335,0.047880090387921743
1,breast-w,GBM,Recall,Normalized,0.9454958677685953,0.04876276433203465
0,breast-w,GBM,F1-score,Standard,0.9442731218338579,0.03450964226043886
1,breast-w,GBM,F1-score,Normalized,0.995221916131007,0.004969367982332645
0,breast-w,GBM,MCC,Standard,0.9161089800201833,0.051955381320640696
1,breast-w,GBM,MCC,Normalized,0.9951714110805018,0.005056591333096099
0,breast-w,GBM,Precision,Standard,0.9432028180132379,0.04702375197983981
1,breast-w,GBM,Precision,Normalized,0.9826973838203785,0.014793098462091227
0,breast-w,GBM,Accuracy,Standard,0.9613705129326686,0.024080109518119765
1,breast-w,GBM,Accuracy,Normalized,0.9952637786060247,0.004997840810762963
0,breast-w,CART,G-mean,Standard,0.9271675219616472,0.03536102830176483
1,breast-w,CART,G-mean,Normalized,0.9870001260375589,0.012142328568620993
0,breast-w,CART,Kappa,Standard,0.8648200262309805,0.061050681165935254
1,breast-w,CART,Kappa,Normalized,0.9896953492140659,0.008787999863140153
0,breast-w,CART,Bal. acc.,Standard,0.9286734299516907,0.03364227690046744
1,breast-w,CART,Bal. acc.,Normalized,0.9871854012495724,0.011638539715281978
0,breast-w,CART,Recall,Standard,0.8934000000000002,0.06577103381344168
1,breast-w,CART,Recall,Normalized,0.8905785123966943,0.06561140316795279
0,breast-w,CART,F1-score,Standard,0.9101416290514724,0.0415943631163349
